Ano;Mês;Clientela;Qte Benefícios Concedidos;Evolução Mensal (AnoMes);Vlr Benefícios Concedidos (R$);Grupo/Principais Espécies;Vlr Benef Concedidos (Mil R$)
1992;Fevereiro;Rural ;19;199202;0,7;Auxílio Reclusão                          ;0
1992;Fevereiro;Rural ;0;199202;0;80-Salário-Maternidade                    ;0
1992;Fevereiro;Rural ;4;199202;0;Auxílio Acidente e Suplementar Acidentário;0
1992;Fevereiro;Rural ;8;199202;0,3;Aposentadorias Acidentárias               ;0
1992;Fevereiro;Rural ;13;199202;0,4;Pensões Acidentárias                      ;0
1992;Março    ;Urbana;1360;199203;194,2;42-Ap Tempo Contrib LOPS                  ;0,2
1992;Março    ;Urbana;137;199203;21,8;46-Ap Tempo Contrib Especial              ;0
1992;Março    ;Urbana;20;199203;2,8;Outras Ap Tempo Contrib                   ;0
1992;Março    ;Urbana;1080;199203;59,6;Ap Idade                                  ;0,1
1992;Março    ;Urbana;0;199203;0;Ap Idade                                  ;0
1992;Março    ;Urbana;394;199203;16;Ap Invalidez                              ;0
1992;Março    ;Urbana;0;199203;0;Ap Invalidez                              ;0
1992;Março    ;Urbana;2030;199203;101,5;Pensões por Morte                         ;0,1
1992;Março    ;Urbana;22;199203;1,3;EPU - Pensão por Morte                    ;0
1992;Março    ;Urbana;5;199203;0,3;Pensões por Morte                         ;0
1992;Março    ;Urbana;0;199203;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Março    ;Urbana;0;199203;0;Pensões Mensais Vitalícias                ;0
1992;Março    ;Urbana;0;199203;0;Pensões Mensais Vitalícias                ;0
1992;Março    ;Urbana;504;199203;17,6;Rmv Invalidez                             ;0
1992;Março    ;Urbana;272;199203;9,5;Rmv Idade                                 ;0
1992;Março    ;Urbana;4002;199203;208,5;Auxílio Doença                            ;0,2
1992;Março    ;Urbana;3;199203;0,1;Auxílio Reclusão                          ;0
1992;Março    ;Urbana;38;199203;1,3;80-Salário-Maternidade                    ;0
1992;Março    ;Urbana;0;199203;0;Auxílio Doença Acidentário                ;0
1992;Março    ;Urbana;83;199203;1,9;Auxílio Acidente e Suplementar Acidentário;0
1992;Março    ;Urbana;1;199203;0,2;Auxílio Acidente e Suplementar Acidentário;0
1992;Março    ;Urbana;37;199203;1,7;Aposentadorias Acidentárias               ;0
1992;Março    ;Urbana;18;199203;1,5;Pensões Acidentárias                      ;0
1992;Março    ;Urbana;15;199203;0,9;Abono de Permanência                      ;0
1992;Março    ;Urbana;14;199203;0,6;Abono de Permanência                      ;0
1992;Março    ;Rural ;0;199203;0;42-Ap Tempo Contrib LOPS                  ;0
1992;Março    ;Rural ;11541;199203;405,5;Ap Idade                                  ;0,4
1992;Março    ;Rural ;568;199203;19,9;Ap Invalidez                              ;0
1992;Março    ;Rural ;3788;199203;132,4;Pensões por Morte                         ;0,1
1992;Março    ;Rural ;1075;199203;37,5;Rmv Invalidez                             ;0
1992;Março    ;Rural ;1140;199203;39,8;Rmv Idade                                 ;0
1992;Março    ;Rural ;5378;199203;187,8;Auxílio Doença                            ;0,2
1992;Março    ;Rural ;13;199203;0,4;Auxílio Reclusão                          ;0
1992;Março    ;Rural ;0;199203;0;80-Salário-Maternidade                    ;0
1992;Março    ;Rural ;6;199203;0;Auxílio Acidente e Suplementar Acidentário;0
1992;Março    ;Rural ;19;199203;0,7;Aposentadorias Acidentárias               ;0
1992;Março    ;Rural ;2;199203;0,1;Pensões Acidentárias                      ;0
1992;Abril    ;Urbana;16028;199204;2424,9;42-Ap Tempo Contrib LOPS                  ;2,4
1992;Abril    ;Urbana;3469;199204;627,3;46-Ap Tempo Contrib Especial              ;0,6
1992;Abril    ;Urbana;243;199204;43,3;Outras Ap Tempo Contrib                   ;0
1992;Abril    ;Urbana;11329;199204;696,2;Ap Idade                                  ;0,7
1992;Abril    ;Urbana;0;199204;0;Ap Idade                                  ;0
1992;Abril    ;Urbana;6028;199204;255,2;Ap Invalidez                              ;0,3
1992;Abril    ;Urbana;1;199204;0;Ap Invalidez                              ;0
1992;Abril    ;Urbana;14047;199204;760,8;Pensões por Morte                         ;0,8
1992;Abril    ;Urbana;111;199204;7,9;EPU - Pensão por Morte                    ;0
1992;Abril    ;Urbana;38;199204;4,1;Pensões por Morte                         ;0
1992;Abril    ;Urbana;0;199204;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Abril    ;Urbana;0;199204;0;Pensões Mensais Vitalícias                ;0
1992;Abril    ;Urbana;0;199204;0;Pensões Mensais Vitalícias                ;0
1992;Abril    ;Urbana;3171;199204;110,7;Rmv Invalidez                             ;0,1
1992;Abril    ;Urbana;1787;199204;62,4;Rmv Idade                                 ;0,1
1992;Abril    ;Urbana;42996;199204;2719,6;Auxílio Doença                            ;2,7
1992;Abril    ;Urbana;29;199204;1,4;Auxílio Reclusão                          ;0
1992;Abril    ;Urbana;1064;199204;41,8;80-Salário-Maternidade                    ;0
1992;Abril    ;Urbana;0;199204;0;Auxílio Doença Acidentário                ;0
1992;Abril    ;Urbana;1257;199204;35,5;Auxílio Acidente e Suplementar Acidentário;0
1992;Abril    ;Urbana;5;199204;0,2;Auxílio Acidente e Suplementar Acidentário;0
1992;Abril    ;Urbana;396;199204;22,2;Aposentadorias Acidentárias               ;0
1992;Abril    ;Urbana;66;199204;5,5;Pensões Acidentárias                      ;0
1992;Abril    ;Urbana;159;199204;8,4;Abono de Permanência                      ;0
1992;Abril    ;Urbana;70;199204;2,9;Abono de Permanência                      ;0
1992;Abril    ;Rural ;5;199204;0,9;42-Ap Tempo Contrib LOPS                  ;0
1992;Abril    ;Rural ;929;199204;32,8;Ap Idade                                  ;0
1992;Abril    ;Rural ;6;199204;0,2;Ap Invalidez                              ;0
1992;Abril    ;Rural ;38;199204;1,3;Pensões por Morte                         ;0
1992;Abril    ;Rural ;24;199204;0,8;Rmv Invalidez                             ;0
1992;Abril    ;Rural ;6;199204;0,2;Rmv Idade                                 ;0
1992;Abril    ;Rural ;125;199204;4,8;Auxílio Doença                            ;0
1992;Abril    ;Rural ;0;199204;0;Auxílio Reclusão                          ;0
1992;Abril    ;Rural ;0;199204;0;80-Salário-Maternidade                    ;0
1992;Abril    ;Rural ;1;199204;0;Auxílio Acidente e Suplementar Acidentário;0
1992;Abril    ;Rural ;1;199204;0;Aposentadorias Acidentárias               ;0
1992;Abril    ;Rural ;0;199204;0;Pensões Acidentárias                      ;0
1992;Maio     ;Urbana;22136;199205;7035,9;42-Ap Tempo Contrib LOPS                  ;7
1992;Maio     ;Urbana;8485;199205;3447,9;46-Ap Tempo Contrib Especial              ;3,4
1992;Maio     ;Urbana;341;199205;111,7;Outras Ap Tempo Contrib                   ;0,1
1992;Maio     ;Urbana;20496;199205;2783,5;Ap Idade                                  ;2,8
1992;Maio     ;Urbana;0;199205;0;Ap Idade                                  ;0
1992;Maio     ;Urbana;6299;199205;634,5;Ap Invalidez                              ;0,6
1992;Maio     ;Urbana;2;199205;0,1;Ap Invalidez                              ;0
1992;Maio     ;Urbana;23769;199205;3349,3;Pensões por Morte                         ;3,4
1992;Maio     ;Urbana;132;199205;11,2;EPU - Pensão por Morte                    ;0
1992;Maio     ;Urbana;87;199205;16,2;Pensões por Morte                         ;0
1992;Maio     ;Urbana;0;199205;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Maio     ;Urbana;0;199205;0;Pensões Mensais Vitalícias                ;0
1992;Maio     ;Urbana;0;199205;0;Pensões Mensais Vitalícias                ;0
1992;Maio     ;Urbana;3581;199205;299,2;Rmv Invalidez                             ;0,3
1992;Maio     ;Urbana;2047;199205;171,2;Rmv Idade                                 ;0,2
1992;Maio     ;Urbana;68269;199205;9407;Auxílio Doença                            ;9,4
1992;Maio     ;Urbana;171;199205;19,4;Auxílio Reclusão                          ;0
1992;Maio     ;Urbana;2125;199205;177,7;80-Salário-Maternidade                    ;0,2
1992;Maio     ;Urbana;0;199205;0;Auxílio Doença Acidentário                ;0
1992;Maio     ;Urbana;1049;199205;60,9;Auxílio Acidente e Suplementar Acidentário;0,1
1992;Maio     ;Urbana;47;199205;1,3;Auxílio Acidente e Suplementar Acidentário;0
1992;Maio     ;Urbana;478;199205;61,6;Aposentadorias Acidentárias               ;0,1
1992;Maio     ;Urbana;274;199205;54,3;Pensões Acidentárias                      ;0
1992;Maio     ;Urbana;322;199205;32,6;Abono de Permanência                      ;0
1992;Maio     ;Urbana;1068;199205;80,2;Abono de Permanência                      ;0,1
1992;Maio     ;Rural ;1;199205;0,4;42-Ap Tempo Contrib LOPS                  ;0
1992;Maio     ;Rural ;16827;199205;1409,3;Ap Idade                                  ;1,4
1992;Maio     ;Rural ;197;199205;17;Ap Invalidez                              ;0
1992;Maio     ;Rural ;1029;199205;87;Pensões por Morte                         ;0,1
1992;Maio     ;Rural ;170;199205;14,2;Rmv Invalidez                             ;0
1992;Maio     ;Rural ;99;199205;8,3;Rmv Idade                                 ;0
1992;Maio     ;Rural ;1518;199205;135,6;Auxílio Doença                            ;0,1
1992;Maio     ;Rural ;2;199205;0,2;Auxílio Reclusão                          ;0
1992;Maio     ;Rural ;0;199205;0;80-Salário-Maternidade                    ;0
1992;Maio     ;Rural ;1;199205;0;Auxílio Acidente e Suplementar Acidentário;0
1992;Maio     ;Rural ;10;199205;0,8;Aposentadorias Acidentárias               ;0
1992;Maio     ;Rural ;1;199205;0,1;Pensões Acidentárias                      ;0
1992;Junho    ;Urbana;17986;199206;5828,3;42-Ap Tempo Contrib LOPS                  ;5,8
1992;Junho    ;Urbana;5558;199206;2255;46-Ap Tempo Contrib Especial              ;2,2
1992;Junho    ;Urbana;267;199206;85,6;Outras Ap Tempo Contrib                   ;0,1
1992;Junho    ;Urbana;14865;199206;2017,6;Ap Idade                                  ;2
1992;Junho    ;Urbana;0;199206;0;Ap Idade                                  ;0
1992;Junho    ;Urbana;4196;199206;439,6;Ap Invalidez                              ;0,4
1992;Junho    ;Urbana;2;199206;0,2;Ap Invalidez                              ;0
1992;Junho    ;Urbana;17700;199206;2464,8;Pensões por Morte                         ;2,5
1992;Junho    ;Urbana;105;199206;11,9;EPU - Pensão por Morte                    ;0
1992;Junho    ;Urbana;49;199206;15,2;Pensões por Morte                         ;0
1992;Junho    ;Urbana;0;199206;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Junho    ;Urbana;0;199206;0;Pensões Mensais Vitalícias                ;0
1992;Junho    ;Urbana;0;199206;0;Pensões Mensais Vitalícias                ;0
1992;Junho    ;Urbana;2331;199206;194,9;Rmv Invalidez                             ;0,2
1992;Junho    ;Urbana;1237;199206;103,5;Rmv Idade                                 ;0,1
1992;Junho    ;Urbana;46680;199206;7001,3;Auxílio Doença                            ;7
1992;Junho    ;Urbana;149;199206;16,7;Auxílio Reclusão                          ;0
1992;Junho    ;Urbana;1601;199206;133,9;80-Salário-Maternidade                    ;0,1
1992;Junho    ;Urbana;0;199206;0;Auxílio Doença Acidentário                ;0
1992;Junho    ;Urbana;1139;199206;69,8;Auxílio Acidente e Suplementar Acidentário;0,1
1992;Junho    ;Urbana;71;199206;3,5;Auxílio Acidente e Suplementar Acidentário;0
1992;Junho    ;Urbana;327;199206;47,4;Aposentadorias Acidentárias               ;0
1992;Junho    ;Urbana;284;199206;49,9;Pensões Acidentárias                      ;0
1992;Junho    ;Urbana;251;199206;26,6;Abono de Permanência                      ;0
1992;Junho    ;Urbana;431;199206;29,6;Abono de Permanência                      ;0
1992;Junho    ;Rural ;1;199206;0,1;42-Ap Tempo Contrib LOPS                  ;0
1992;Junho    ;Rural ;32057;199206;2687,5;Ap Idade                                  ;2,7
1992;Junho    ;Rural ;376;199206;31,8;Ap Invalidez                              ;0
1992;Junho    ;Rural ;1756;199206;144;Pensões por Morte                         ;0,1
1992;Junho    ;Rural ;316;199206;26,4;Rmv Invalidez                             ;0
1992;Junho    ;Rural ;276;199206;23,1;Rmv Idade                                 ;0
1992;Junho    ;Rural ;2323;199206;196,1;Auxílio Doença                            ;0,2
1992;Junho    ;Rural ;9;199206;0,8;Auxílio Reclusão                          ;0
1992;Junho    ;Rural ;0;199206;0;80-Salário-Maternidade                    ;0
1992;Junho    ;Rural ;3;199206;0,1;Auxílio Acidente e Suplementar Acidentário;0
1992;Junho    ;Rural ;10;199206;0,8;Aposentadorias Acidentárias               ;0
1992;Junho    ;Rural ;2;199206;0,2;Pensões Acidentárias                      ;0
1992;Julho    ;Urbana;16678;199207;5676,9;42-Ap Tempo Contrib LOPS                  ;5,7
1992;Julho    ;Urbana;4863;199207;2036,4;46-Ap Tempo Contrib Especial              ;2
1992;Julho    ;Urbana;244;199207;86,8;Outras Ap Tempo Contrib                   ;0,1
1992;Julho    ;Urbana;11233;199207;1660,5;Ap Idade                                  ;1,7
1992;Julho    ;Urbana;0;199207;0;Ap Idade                                  ;0
1992;Julho    ;Urbana;5069;199207;528;Ap Invalidez                              ;0,5
1992;Julho    ;Urbana;0;199207;0;Ap Invalidez                              ;0
1992;Julho    ;Urbana;15092;199207;2073,4;Pensões por Morte                         ;2,1
1992;Julho    ;Urbana;33;199207;1;EPU - Pensão por Morte                    ;0
1992;Julho    ;Urbana;46;199207;10,9;Pensões por Morte                         ;0
1992;Julho    ;Urbana;1;199207;0,1;EPU - Pensões Mensais Vitalícias          ;0
1992;Julho    ;Urbana;0;199207;0;Pensões Mensais Vitalícias                ;0
1992;Julho    ;Urbana;0;199207;0;Pensões Mensais Vitalícias                ;0
1992;Julho    ;Urbana;1800;199207;150,6;Rmv Invalidez                             ;0,2
1992;Julho    ;Urbana;1145;199207;95,8;Rmv Idade                                 ;0,1
1992;Julho    ;Urbana;33306;199207;5666,7;Auxílio Doença                            ;5,7
1992;Julho    ;Urbana;104;199207;14,9;Auxílio Reclusão                          ;0
1992;Julho    ;Urbana;762;199207;65,7;80-Salário-Maternidade                    ;0,1
1992;Julho    ;Urbana;0;199207;0;Auxílio Doença Acidentário                ;0
1992;Julho    ;Urbana;859;199207;50,7;Auxílio Acidente e Suplementar Acidentário;0
1992;Julho    ;Urbana;419;199207;17,7;Auxílio Acidente e Suplementar Acidentário;0
1992;Julho    ;Urbana;286;199207;41,2;Aposentadorias Acidentárias               ;0
1992;Julho    ;Urbana;239;199207;46,6;Pensões Acidentárias                      ;0
1992;Julho    ;Urbana;253;199207;27,8;Abono de Permanência                      ;0
1992;Julho    ;Urbana;684;199207;49,9;Abono de Permanência                      ;0
1992;Julho    ;Rural ;7;199207;1,2;42-Ap Tempo Contrib LOPS                  ;0
1992;Julho    ;Rural ;36672;199207;3081;Ap Idade                                  ;3,1
1992;Julho    ;Rural ;573;199207;48;Ap Invalidez                              ;0
1992;Julho    ;Rural ;2527;199207;210,7;Pensões por Morte                         ;0,2
1992;Julho    ;Rural ;693;199207;58;Rmv Invalidez                             ;0,1
1992;Julho    ;Rural ;505;199207;42,2;Rmv Idade                                 ;0
1992;Julho    ;Rural ;2997;199207;252,9;Auxílio Doença                            ;0,2
1992;Julho    ;Rural ;18;199207;1,5;Auxílio Reclusão                          ;0
1992;Julho    ;Rural ;0;199207;0;80-Salário-Maternidade                    ;0
1992;Julho    ;Rural ;33;199207;1,4;Auxílio Acidente e Suplementar Acidentário;0
1992;Julho    ;Rural ;23;199207;1,9;Aposentadorias Acidentárias               ;0
1992;Julho    ;Rural ;11;199207;0,6;Pensões Acidentárias                      ;0
1992;Agosto   ;Urbana;18617;199208;6622,4;42-Ap Tempo Contrib LOPS                  ;6,6
1992;Agosto   ;Urbana;4957;199208;2190,4;46-Ap Tempo Contrib Especial              ;2,2
1992;Agosto   ;Urbana;271;199208;105,5;Outras Ap Tempo Contrib                   ;0,1
1992;Agosto   ;Urbana;13962;199208;2062,7;Ap Idade                                  ;2,1
1992;Agosto   ;Urbana;0;199208;0;Ap Idade                                  ;0
1992;Agosto   ;Urbana;4931;199208;600,4;Ap Invalidez                              ;0,6
1992;Agosto   ;Urbana;1;199208;0,4;Ap Invalidez                              ;0
1992;Agosto   ;Urbana;17633;199208;2664,9;Pensões por Morte                         ;2,7
1992;Agosto   ;Urbana;44;199208;5,3;EPU - Pensão por Morte                    ;0
1992;Agosto   ;Urbana;82;199208;34,2;Pensões por Morte                         ;0
1992;Agosto   ;Urbana;0;199208;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Agosto   ;Urbana;0;199208;0;Pensões Mensais Vitalícias                ;0
1992;Agosto   ;Urbana;0;199208;0;Pensões Mensais Vitalícias                ;0
1992;Agosto   ;Urbana;2272;199208;190;Rmv Invalidez                             ;0,2
1992;Agosto   ;Urbana;1367;199208;114,3;Rmv Idade                                 ;0,1
1992;Agosto   ;Urbana;44152;199208;8051;Auxílio Doença                            ;8
1992;Agosto   ;Urbana;131;199208;18;Auxílio Reclusão                          ;0
1992;Agosto   ;Urbana;1284;199208;109,2;80-Salário-Maternidade                    ;0,1
1992;Agosto   ;Urbana;0;199208;0;Auxílio Doença Acidentário                ;0
1992;Agosto   ;Urbana;821;199208;58,2;Auxílio Acidente e Suplementar Acidentário;0,1
1992;Agosto   ;Urbana;251;199208;13,2;Auxílio Acidente e Suplementar Acidentário;0
1992;Agosto   ;Urbana;280;199208;45,7;Aposentadorias Acidentárias               ;0
1992;Agosto   ;Urbana;453;199208;94,4;Pensões Acidentárias                      ;0,1
1992;Agosto   ;Urbana;276;199208;35;Abono de Permanência                      ;0
1992;Agosto   ;Urbana;919;199208;67,2;Abono de Permanência                      ;0,1
1992;Agosto   ;Rural ;7;199208;1,2;42-Ap Tempo Contrib LOPS                  ;0
1992;Agosto   ;Rural ;61573;199208;5187;Ap Idade                                  ;5,2
1992;Agosto   ;Rural ;888;199208;75,8;Ap Invalidez                              ;0,1
1992;Agosto   ;Rural ;4015;199208;274,1;Pensões por Morte                         ;0,3
1992;Agosto   ;Rural ;1004;199208;84;Rmv Invalidez                             ;0,1
1992;Agosto   ;Rural ;814;199208;68,1;Rmv Idade                                 ;0,1
1992;Agosto   ;Rural ;4311;199208;367,3;Auxílio Doença                            ;0,4
1992;Agosto   ;Rural ;11;199208;1,5;Auxílio Reclusão                          ;0
1992;Agosto   ;Rural ;0;199208;0;80-Salário-Maternidade                    ;0
1992;Agosto   ;Rural ;41;199208;2,5;Auxílio Acidente e Suplementar Acidentário;0
1992;Agosto   ;Rural ;26;199208;2,9;Aposentadorias Acidentárias               ;0
1992;Agosto   ;Rural ;16;199208;1,1;Pensões Acidentárias                      ;0
1992;Setembro ;Urbana;18127;199209;12950,1;42-Ap Tempo Contrib LOPS                  ;13
1992;Setembro ;Urbana;4438;199209;3839,8;46-Ap Tempo Contrib Especial              ;3,8
1992;Setembro ;Urbana;230;199209;171,9;Outras Ap Tempo Contrib                   ;0,2
1992;Setembro ;Urbana;13776;199209;4164,1;Ap Idade                                  ;4,2
1992;Setembro ;Urbana;0;199209;0;Ap Idade                                  ;0
1992;Setembro ;Urbana;4231;199209;1132,4;Ap Invalidez                              ;1,1
1992;Setembro ;Urbana;1;199209;1,2;Ap Invalidez                              ;0
1992;Setembro ;Urbana;17990;199209;5576,7;Pensões por Morte                         ;5,6
1992;Setembro ;Urbana;42;199209;2,6;EPU - Pensão por Morte                    ;0
1992;Setembro ;Urbana;66;199209;40,2;Pensões por Morte                         ;0
1992;Setembro ;Urbana;0;199209;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Setembro ;Urbana;0;199209;0;Pensões Mensais Vitalícias                ;0
1992;Setembro ;Urbana;0;199209;0;Pensões Mensais Vitalícias                ;0
1992;Setembro ;Urbana;2099;199209;398,6;Rmv Invalidez                             ;0,4
1992;Setembro ;Urbana;1415;199209;268,7;Rmv Idade                                 ;0,3
1992;Setembro ;Urbana;46290;199209;16263,2;Auxílio Doença                            ;16,3
1992;Setembro ;Urbana;145;199209;47,3;Auxílio Reclusão                          ;0
1992;Setembro ;Urbana;2235;199209;427,5;80-Salário-Maternidade                    ;0,4
1992;Setembro ;Urbana;0;199209;0;Auxílio Doença Acidentário                ;0
1992;Setembro ;Urbana;1016;199209;146,3;Auxílio Acidente e Suplementar Acidentário;0,2
1992;Setembro ;Urbana;269;199209;37,2;Auxílio Acidente e Suplementar Acidentário;0
1992;Setembro ;Urbana;256;199209;87,2;Aposentadorias Acidentárias               ;0,1
1992;Setembro ;Urbana;548;199209;218,1;Pensões Acidentárias                      ;0,2
1992;Setembro ;Urbana;255;199209;61;Abono de Permanência                      ;0,1
1992;Setembro ;Urbana;499;199209;95,8;Abono de Permanência                      ;0,1
1992;Setembro ;Rural ;12;199209;4;42-Ap Tempo Contrib LOPS                  ;0
1992;Setembro ;Rural ;96320;199209;18386,5;Ap Idade                                  ;18,4
1992;Setembro ;Rural ;1400;199209;275,5;Ap Invalidez                              ;0,3
1992;Setembro ;Rural ;6075;199209;1166,9;Pensões por Morte                         ;1,2
1992;Setembro ;Rural ;893;199209;169,6;Rmv Invalidez                             ;0,2
1992;Setembro ;Rural ;688;199209;130,6;Rmv Idade                                 ;0,1
1992;Setembro ;Rural ;5921;199209;1136,7;Auxílio Doença                            ;1,1
1992;Setembro ;Rural ;18;199209;3,4;Auxílio Reclusão                          ;0
1992;Setembro ;Rural ;0;199209;0;80-Salário-Maternidade                    ;0
1992;Setembro ;Rural ;54;199209;9,3;Auxílio Acidente e Suplementar Acidentário;0
1992;Setembro ;Rural ;30;199209;5,7;Aposentadorias Acidentárias               ;0
1992;Setembro ;Rural ;17;199209;3,2;Pensões Acidentárias                      ;0
1992;Outubro  ;Urbana;14141;199210;10012;42-Ap Tempo Contrib LOPS                  ;10
1992;Outubro  ;Urbana;3588;199210;3211,2;46-Ap Tempo Contrib Especial              ;3,2
1992;Outubro  ;Urbana;212;199210;140,3;Outras Ap Tempo Contrib                   ;0,1
1992;Outubro  ;Urbana;11255;199210;3289,1;Ap Idade                                  ;3,3
1992;Outubro  ;Urbana;0;199210;0;Ap Idade                                  ;0
